Query Name,Severity
OSS Bucket Allows All Actions From All Principals,Critical
OSS Bucket Allows Delete Action From All Principals,Critical
OSS Bucket Allows Put Action From All Principals,Critical
RDS DB Instance Publicly Accessible,Critical
OSS Bucket Allows List Action From All Principals,High
OSS Bucket Public Access Enabled,High
Ecs Data Disk Kms Key Id Undefined,High
Launch Template Is Not Encrypted,High
NAS File System Not Encrypted,High
NAS File System Without KMS,High
RDS Instance TDE Status Disabled,High
OSS Bucket Has Static Website,High
OSS Bucket Ip Restriction Disabled,High
Public Security Group Rule All Ports or Protocols,High
Public Security Group Rule Sensitive Port,High
Public Security Group Rule Unknown Port,High
ActionTrail Trail OSS Bucket is Publicly Accessible,High
Ram Policy Admin Access Not Attached to Users Groups Roles,Medium
Ram Policy Attached to User,Medium
CMK Is Unusable,Medium
OSS Bucket Versioning Disabled,Medium
ROS Stack Retention Disabled,Medium
Team Tag Missing,Info
Disk Encryption Disabled,Medium
OSS Bucket Encryption Using CMK Disabled,Medium
SLB Policy With Insecure TLS Version In Use,Medium
CS Kubernetes Node Pool Auto Repair Disabled,Medium
RDS DB Instance Publicly Accessible,Medium
ALB Listening on HTTP,Medium
API Gateway API Protocol Not HTTPS,Medium
OSS Buckets Secure Transport Disabled,Medium
RDS Instance SSL Action Disabled,Medium
Action Trail Logging For All Regions Disabled,Medium
OSS Bucket Logging Disabled,Medium
RDS Instance Events Not Logged,Medium
RDS Instance Log Connections Disabled,Medium
RDS Instance Log Disconnections Disabled,Medium
RDS Instance Log Duration Disabled,Medium
VPC Flow Logs Disabled,Medium
No ROS Stack Policy,Medium
High KMS Key Rotation Period,Medium
Ram Account Password Policy Max Login Attempts Unrecommended,Medium
Ram Account Password Policy Max Password Age Unrecommended,Medium
RAM Account Password Policy without Reuse Prevention,Medium
RAM Security Preference Not Enforce MFA Login,Low
OSS Bucket Transfer Acceleration Disabled,Low
OSS Bucket Lifecycle Rule Disabled,Low
Kubernetes Cluster Without Terway as CNI Network Plugin,Low
